version,version2,id,severity,msg,verbose,cwe,inconclusive,file,line,column,info
2,2.19.0,missingInclude,information,Include file: &quot;Python.h&quot; not found.,Include file: &quot;Python.h&quot; not found.,,,C:\Users\lawrence\Desktop\School\GATech\Spring 2026\PUBP 6727 Cyber Sec Practicum\SourceCodeRepos\GitHub\SCAMR_Helper_SampleSourceCode\Modules\_abc.c,6,2,
2,2.19.0,missingInclude,information,Include file: &quot;pycore_moduleobject.h&quot; not found.,Include file: &quot;pycore_moduleobject.h&quot; not found.,,,C:\Users\lawrence\Desktop\School\GATech\Spring 2026\PUBP 6727 Cyber Sec Practicum\SourceCodeRepos\GitHub\SCAMR_Helper_SampleSourceCode\Modules\_abc.c,7,2,
2,2.19.0,missingInclude,information,Include file: &quot;pycore_object.h&quot; not found.,Include file: &quot;pycore_object.h&quot; not found.,,,C:\Users\lawrence\Desktop\School\GATech\Spring 2026\PUBP 6727 Cyber Sec Practicum\SourceCodeRepos\GitHub\SCAMR_Helper_SampleSourceCode\Modules\_abc.c,8,2,
2,2.19.0,missingInclude,information,Include file: &quot;pycore_runtime.h&quot; not found.,Include file: &quot;pycore_runtime.h&quot; not found.,,,C:\Users\lawrence\Desktop\School\GATech\Spring 2026\PUBP 6727 Cyber Sec Practicum\SourceCodeRepos\GitHub\SCAMR_Helper_SampleSourceCode\Modules\_abc.c,9,2,
2,2.19.0,missingInclude,information,Include file: &quot;pycore_setobject.h&quot; not found.,Include file: &quot;pycore_setobject.h&quot; not found.,,,C:\Users\lawrence\Desktop\School\GATech\Spring 2026\PUBP 6727 Cyber Sec Practicum\SourceCodeRepos\GitHub\SCAMR_Helper_SampleSourceCode\Modules\_abc.c,10,2,
2,2.19.0,missingInclude,information,Include file: &quot;pycore_weakref.h&quot; not found.,Include file: &quot;pycore_weakref.h&quot; not found.,,,C:\Users\lawrence\Desktop\School\GATech\Spring 2026\PUBP 6727 Cyber Sec Practicum\SourceCodeRepos\GitHub\SCAMR_Helper_SampleSourceCode\Modules\_abc.c,11,2,
2,2.19.0,normalCheckLevelMaxBranches,information,Limiting analysis of branches. Use --check-level=exhaustive to analyze all branches.,Limiting analysis of branches. Use --check-level=exhaustive to analyze all branches.,,,C:\Users\lawrence\Desktop\School\GATech\Spring 2026\PUBP 6727 Cyber Sec Practicum\SourceCodeRepos\GitHub\SCAMR_Helper_SampleSourceCode\Modules\_abc.c,0,,
2,2.19.0,missingReturn,error,Found an exit path from function with non-void return type that has missing return statement,Found an exit path from function with non-void return type that has missing return statement,758,,C:\Users\lawrence\Desktop\School\GATech\Spring 2026\PUBP 6727 Cyber Sec Practicum\SourceCodeRepos\GitHub\SCAMR_Helper_SampleSourceCode\Modules\_abc.c,542,5,
2,2.19.0,constParameterPointer,style,Parameter &#039;state&#039; can be declared as pointer to const,Parameter &#039;state&#039; can be declared as pointer to const,398,,C:\Users\lawrence\Desktop\School\GATech\Spring 2026\PUBP 6727 Cyber Sec Practicum\SourceCodeRepos\GitHub\SCAMR_Helper_SampleSourceCode\Modules\_abc.c,36,44,
2,2.19.0,constParameterPointer,style,Parameter &#039;impl&#039; can be declared as pointer to const,Parameter &#039;impl&#039; can be declared as pointer to const,398,,C:\Users\lawrence\Desktop\School\GATech\Spring 2026\PUBP 6727 Cyber Sec Practicum\SourceCodeRepos\GitHub\SCAMR_Helper_SampleSourceCode\Modules\_abc.c,73,30,
2,2.19.0,missingInclude,information,Include file: &quot;pycore_modsupport.h&quot; not found.,Include file: &quot;pycore_modsupport.h&quot; not found.,,,C:\Users\lawrence\Desktop\School\GATech\Spring 2026\PUBP 6727 Cyber Sec Practicum\SourceCodeRepos\GitHub\SCAMR_Helper_SampleSourceCode\Modules\clinic\_abc.c.h,5,2,
2,2.19.0,missingInclude,information,Include file: &quot;Python.h&quot; not found.,Include file: &quot;Python.h&quot; not found.,,,C:\Users\lawrence\Desktop\School\GATech\Spring 2026\PUBP 6727 Cyber Sec Practicum\SourceCodeRepos\GitHub\SCAMR_Helper_SampleSourceCode\Modules\_asynciomodule.c,5,2,
2,2.19.0,missingInclude,information,Include file: &quot;pycore_freelist.h&quot; not found.,Include file: &quot;pycore_freelist.h&quot; not found.,,,C:\Users\lawrence\Desktop\School\GATech\Spring 2026\PUBP 6727 Cyber Sec Practicum\SourceCodeRepos\GitHub\SCAMR_Helper_SampleSourceCode\Modules\_asynciomodule.c,6,2,
2,2.19.0,missingInclude,information,Include file: &quot;pycore_genobject.h&quot; not found.,Include file: &quot;pycore_genobject.h&quot; not found.,,,C:\Users\lawrence\Desktop\School\GATech\Spring 2026\PUBP 6727 Cyber Sec Practicum\SourceCodeRepos\GitHub\SCAMR_Helper_SampleSourceCode\Modules\_asynciomodule.c,7,2,
2,2.19.0,missingInclude,information,Include file: &quot;pycore_llist.h&quot; not found.,Include file: &quot;pycore_llist.h&quot; not found.,,,C:\Users\lawrence\Desktop\School\GATech\Spring 2026\PUBP 6727 Cyber Sec Practicum\SourceCodeRepos\GitHub\SCAMR_Helper_SampleSourceCode\Modules\_asynciomodule.c,8,2,
2,2.19.0,missingInclude,information,Include file: &quot;pycore_list.h&quot; not found.,Include file: &quot;pycore_list.h&quot; not found.,,,C:\Users\lawrence\Desktop\School\GATech\Spring 2026\PUBP 6727 Cyber Sec Practicum\SourceCodeRepos\GitHub\SCAMR_Helper_SampleSourceCode\Modules\_asynciomodule.c,9,2,
2,2.19.0,missingInclude,information,Include file: &quot;pycore_modsupport.h&quot; not found.,Include file: &quot;pycore_modsupport.h&quot; not found.,,,C:\Users\lawrence\Desktop\School\GATech\Spring 2026\PUBP 6727 Cyber Sec Practicum\SourceCodeRepos\GitHub\SCAMR_Helper_SampleSourceCode\Modules\_asynciomodule.c,10,2,
2,2.19.0,missingInclude,information,Include file: &quot;pycore_moduleobject.h&quot; not found.,Include file: &quot;pycore_moduleobject.h&quot; not found.,,,C:\Users\lawrence\Desktop\School\GATech\Spring 2026\PUBP 6727 Cyber Sec Practicum\SourceCodeRepos\GitHub\SCAMR_Helper_SampleSourceCode\Modules\_asynciomodule.c,11,2,
2,2.19.0,missingInclude,information,Include file: &quot;pycore_object.h&quot; not found.,Include file: &quot;pycore_object.h&quot; not found.,,,C:\Users\lawrence\Desktop\School\GATech\Spring 2026\PUBP 6727 Cyber Sec Practicum\SourceCodeRepos\GitHub\SCAMR_Helper_SampleSourceCode\Modules\_asynciomodule.c,12,2,
2,2.19.0,missingInclude,information,Include file: &quot;pycore_pylifecycle.h&quot; not found.,Include file: &quot;pycore_pylifecycle.h&quot; not found.,,,C:\Users\lawrence\Desktop\School\GATech\Spring 2026\PUBP 6727 Cyber Sec Practicum\SourceCodeRepos\GitHub\SCAMR_Helper_SampleSourceCode\Modules\_asynciomodule.c,13,2,
2,2.19.0,missingInclude,information,Include file: &quot;pycore_pystate.h&quot; not found.,Include file: &quot;pycore_pystate.h&quot; not found.,,,C:\Users\lawrence\Desktop\School\GATech\Spring 2026\PUBP 6727 Cyber Sec Practicum\SourceCodeRepos\GitHub\SCAMR_Helper_SampleSourceCode\Modules\_asynciomodule.c,14,2,
2,2.19.0,missingInclude,information,Include file: &quot;pycore_runtime_init.h&quot; not found.,Include file: &quot;pycore_runtime_init.h&quot; not found.,,,C:\Users\lawrence\Desktop\School\GATech\Spring 2026\PUBP 6727 Cyber Sec Practicum\SourceCodeRepos\GitHub\SCAMR_Helper_SampleSourceCode\Modules\_asynciomodule.c,15,2,
2,2.19.0,missingIncludeSystem,information,Include file: &lt;stddef.h&gt; not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: &lt;stddef.h&gt; not found. Please note: Cppcheck does not need standard library headers to get proper results.,,,C:\Users\lawrence\Desktop\School\GATech\Spring 2026\PUBP 6727 Cyber Sec Practicum\SourceCodeRepos\GitHub\SCAMR_Helper_SampleSourceCode\Modules\_asynciomodule.c,17,2,
2,2.19.0,normalCheckLevelMaxBranches,information,Limiting analysis of branches. Use --check-level=exhaustive to analyze all branches.,Limiting analysis of branches. Use --check-level=exhaustive to analyze all branches.,,,C:\Users\lawrence\Desktop\School\GATech\Spring 2026\PUBP 6727 Cyber Sec Practicum\SourceCodeRepos\GitHub\SCAMR_Helper_SampleSourceCode\Modules\_asynciomodule.c,0,,
2,2.19.0,missingReturn,error,Found an exit path from function with non-void return type that has missing return statement,Found an exit path from function with non-void return type that has missing return statement,758,,C:\Users\lawrence\Desktop\School\GATech\Spring 2026\PUBP 6727 Cyber Sec Practicum\SourceCodeRepos\GitHub\SCAMR_Helper_SampleSourceCode\Modules\_asynciomodule.c,647,5,
2,2.19.0,missingReturn,error,Found an exit path from function with non-void return type that has missing return statement,Found an exit path from function with non-void return type that has missing return statement,758,,C:\Users\lawrence\Desktop\School\GATech\Spring 2026\PUBP 6727 Cyber Sec Practicum\SourceCodeRepos\GitHub\SCAMR_Helper_SampleSourceCode\Modules\_asynciomodule.c,713,5,
2,2.19.0,missingReturn,error,Found an exit path from function with non-void return type that has missing return statement,Found an exit path from function with non-void return type that has missing return statement,758,,C:\Users\lawrence\Desktop\School\GATech\Spring 2026\PUBP 6727 Cyber Sec Practicum\SourceCodeRepos\GitHub\SCAMR_Helper_SampleSourceCode\Modules\_asynciomodule.c,829,13,
2,2.19.0,missingReturn,error,Found an exit path from function with non-void return type that has missing return statement,Found an exit path from function with non-void return type that has missing return statement,758,,C:\Users\lawrence\Desktop\School\GATech\Spring 2026\PUBP 6727 Cyber Sec Practicum\SourceCodeRepos\GitHub\SCAMR_Helper_SampleSourceCode\Modules\_asynciomodule.c,881,5,
2,2.19.0,missingReturn,error,Found an exit path from function with non-void return type that has missing return statement,Found an exit path from function with non-void return type that has missing return statement,758,,C:\Users\lawrence\Desktop\School\GATech\Spring 2026\PUBP 6727 Cyber Sec Practicum\SourceCodeRepos\GitHub\SCAMR_Helper_SampleSourceCode\Modules\_asynciomodule.c,1037,5,
2,2.19.0,missingReturn,error,Found an exit path from function with non-void return type that has missing return statement,Found an exit path from function with non-void return type that has missing return statement,758,,C:\Users\lawrence\Desktop\School\GATech\Spring 2026\PUBP 6727 Cyber Sec Practicum\SourceCodeRepos\GitHub\SCAMR_Helper_SampleSourceCode\Modules\_asynciomodule.c,1289,9,
2,2.19.0,missingReturn,error,Found an exit path from function with non-void return type that has missing return statement,Found an exit path from function with non-void return type that has missing return statement,758,,C:\Users\lawrence\Desktop\School\GATech\Spring 2026\PUBP 6727 Cyber Sec Practicum\SourceCodeRepos\GitHub\SCAMR_Helper_SampleSourceCode\Modules\_asynciomodule.c,1311,9,
2,2.19.0,missingReturn,error,Found an exit path from function with non-void return type that has missing return statement,Found an exit path from function with non-void return type that has missing return statement,758,,C:\Users\lawrence\Desktop\School\GATech\Spring 2026\PUBP 6727 Cyber Sec Practicum\SourceCodeRepos\GitHub\SCAMR_Helper_SampleSourceCode\Modules\_asynciomodule.c,1380,9,
2,2.19.0,missingReturn,error,Found an exit path from function with non-void return type that has missing return statement,Found an exit path from function with non-void return type that has missing return statement,758,,C:\Users\lawrence\Desktop\School\GATech\Spring 2026\PUBP 6727 Cyber Sec Practicum\SourceCodeRepos\GitHub\SCAMR_Helper_SampleSourceCode\Modules\_asynciomodule.c,1428,9,
2,2.19.0,missingReturn,error,Found an exit path from function with non-void return type that has missing return statement,Found an exit path from function with non-void return type that has missing return statement,758,,C:\Users\lawrence\Desktop\School\GATech\Spring 2026\PUBP 6727 Cyber Sec Practicum\SourceCodeRepos\GitHub\SCAMR_Helper_SampleSourceCode\Modules\_asynciomodule.c,1998,5,
