"version","version2","id","severity","msg","verbose","cwe","inconclusive","file","line","column","info","Hyperlink to Finding","Hyperlink to MITRE CWE"
"2","2.19.0","missingInclude","information","Include file: &quot;Python.h&quot; not found.","Include file: &quot;Python.h&quot; not found.","","","C:\Users\lawrence\Desktop\School\GATech\Spring 2026\PUBP 6727 Cyber Sec Practicum\SourceCodeRepos\GitHub\SCAMR_Helper_SampleSourceCode\Modules\_abc.c","6","2","","=HYPERLINK(""https://github.com/lawrencekim5/SCAMR_Helper_SampleSourceCode/blob/main/\Modules\_abc.c#L6"", ""\Modules\_abc.c#L6"")",""
"2","2.19.0","missingInclude","information","Include file: &quot;pycore_moduleobject.h&quot; not found.","Include file: &quot;pycore_moduleobject.h&quot; not found.","","","C:\Users\lawrence\Desktop\School\GATech\Spring 2026\PUBP 6727 Cyber Sec Practicum\SourceCodeRepos\GitHub\SCAMR_Helper_SampleSourceCode\Modules\_abc.c","7","2","","=HYPERLINK(""https://github.com/lawrencekim5/SCAMR_Helper_SampleSourceCode/blob/main/\Modules\_abc.c#L7"", ""\Modules\_abc.c#L7"")",""
"2","2.19.0","missingInclude","information","Include file: &quot;pycore_object.h&quot; not found.","Include file: &quot;pycore_object.h&quot; not found.","","","C:\Users\lawrence\Desktop\School\GATech\Spring 2026\PUBP 6727 Cyber Sec Practicum\SourceCodeRepos\GitHub\SCAMR_Helper_SampleSourceCode\Modules\_abc.c","8","2","","=HYPERLINK(""https://github.com/lawrencekim5/SCAMR_Helper_SampleSourceCode/blob/main/\Modules\_abc.c#L8"", ""\Modules\_abc.c#L8"")",""
"2","2.19.0","missingInclude","information","Include file: &quot;pycore_runtime.h&quot; not found.","Include file: &quot;pycore_runtime.h&quot; not found.","","","C:\Users\lawrence\Desktop\School\GATech\Spring 2026\PUBP 6727 Cyber Sec Practicum\SourceCodeRepos\GitHub\SCAMR_Helper_SampleSourceCode\Modules\_abc.c","9","2","","=HYPERLINK(""https://github.com/lawrencekim5/SCAMR_Helper_SampleSourceCode/blob/main/\Modules\_abc.c#L9"", ""\Modules\_abc.c#L9"")",""
"2","2.19.0","missingInclude","information","Include file: &quot;pycore_setobject.h&quot; not found.","Include file: &quot;pycore_setobject.h&quot; not found.","","","C:\Users\lawrence\Desktop\School\GATech\Spring 2026\PUBP 6727 Cyber Sec Practicum\SourceCodeRepos\GitHub\SCAMR_Helper_SampleSourceCode\Modules\_abc.c","10","2","","=HYPERLINK(""https://github.com/lawrencekim5/SCAMR_Helper_SampleSourceCode/blob/main/\Modules\_abc.c#L10"", ""\Modules\_abc.c#L10"")",""
"2","2.19.0","missingInclude","information","Include file: &quot;pycore_weakref.h&quot; not found.","Include file: &quot;pycore_weakref.h&quot; not found.","","","C:\Users\lawrence\Desktop\School\GATech\Spring 2026\PUBP 6727 Cyber Sec Practicum\SourceCodeRepos\GitHub\SCAMR_Helper_SampleSourceCode\Modules\_abc.c","11","2","","=HYPERLINK(""https://github.com/lawrencekim5/SCAMR_Helper_SampleSourceCode/blob/main/\Modules\_abc.c#L11"", ""\Modules\_abc.c#L11"")",""
"2","2.19.0","normalCheckLevelMaxBranches","information","Limiting analysis of branches. Use --check-level=exhaustive to analyze all branches.","Limiting analysis of branches. Use --check-level=exhaustive to analyze all branches.","","","C:\Users\lawrence\Desktop\School\GATech\Spring 2026\PUBP 6727 Cyber Sec Practicum\SourceCodeRepos\GitHub\SCAMR_Helper_SampleSourceCode\Modules\_abc.c","0","","","=HYPERLINK(""https://github.com/lawrencekim5/SCAMR_Helper_SampleSourceCode/blob/main/\Modules\_abc.c#L0"", ""\Modules\_abc.c#L0"")",""
"2","2.19.0","missingReturn","error","Found an exit path from function with non-void return type that has missing return statement","Found an exit path from function with non-void return type that has missing return statement","758","","C:\Users\lawrence\Desktop\School\GATech\Spring 2026\PUBP 6727 Cyber Sec Practicum\SourceCodeRepos\GitHub\SCAMR_Helper_SampleSourceCode\Modules\_abc.c","542","5","","=HYPERLINK(""https://github.com/lawrencekim5/SCAMR_Helper_SampleSourceCode/blob/main/\Modules\_abc.c#L542"", ""\Modules\_abc.c#L542"")","=HYPERLINK(""https://cwe.mitre.org/data/definitions/758.html"", ""CWE: 758"")"
"2","2.19.0","constParameterPointer","style","Parameter &#039;state&#039; can be declared as pointer to const","Parameter &#039;state&#039; can be declared as pointer to const","398","","C:\Users\lawrence\Desktop\School\GATech\Spring 2026\PUBP 6727 Cyber Sec Practicum\SourceCodeRepos\GitHub\SCAMR_Helper_SampleSourceCode\Modules\_abc.c","36","44","","=HYPERLINK(""https://github.com/lawrencekim5/SCAMR_Helper_SampleSourceCode/blob/main/\Modules\_abc.c#L36"", ""\Modules\_abc.c#L36"")","=HYPERLINK(""https://cwe.mitre.org/data/definitions/398.html"", ""CWE: 398"")"
"2","2.19.0","constParameterPointer","style","Parameter &#039;impl&#039; can be declared as pointer to const","Parameter &#039;impl&#039; can be declared as pointer to const","398","","C:\Users\lawrence\Desktop\School\GATech\Spring 2026\PUBP 6727 Cyber Sec Practicum\SourceCodeRepos\GitHub\SCAMR_Helper_SampleSourceCode\Modules\_abc.c","73","30","","=HYPERLINK(""https://github.com/lawrencekim5/SCAMR_Helper_SampleSourceCode/blob/main/\Modules\_abc.c#L73"", ""\Modules\_abc.c#L73"")","=HYPERLINK(""https://cwe.mitre.org/data/definitions/398.html"", ""CWE: 398"")"
